t,raw_dt,draw_dt,sim_before,sim_after,advance,acc_after
1790366163.376,0.0500,0.0500,17.8667,17.9167,0.0500,0.0043
1790366163.424,0.0500,0.0500,17.9167,17.9667,0.0500,0.0043
1790366163.472,0.0490,0.0490,17.9667,18.0167,0.0500,0.0033
1790366163.521,0.0480,0.0480,18.0167,18.0667,0.0500,0.0013
1790366163.572,0.0490,0.0490,18.0667,18.1167,0.0500,0.0003
1790366163.620,0.0500,0.0500,18.1167,18.1667,0.0500,0.0003
1790366163.660,0.0490,0.0490,18.1667,18.2000,0.0333,0.0160
1790366163.712,0.0400,0.0400,18.2000,18.2500,0.0500,0.0060
1790366163.765,0.0520,0.0500,18.2500,18.3000,0.0500,0.0080
1790366163.817,0.0540,0.0500,18.3000,18.3500,0.0500,0.0120
1790366163.870,0.0520,0.0500,18.3500,18.4000,0.0500,0.0140
1790366163.933,0.0540,0.0500,18.4000,18.4667,0.0667,0.0013
1790366163.983,0.0600,0.0500,18.4667,18.5167,0.0500,0.0113
1790366164.031,0.0490,0.0490,18.5167,18.5667,0.0500,0.0103
1790366164.083,0.0490,0.0490,18.5667,18.6167,0.0500,0.0093
1790366164.134,0.0540,0.0500,18.6167,18.6667,0.0500,0.0133
1790366164.185,0.0510,0.0500,18.6667,18.7167,0.0500,0.0143
1790366164.235,0.0510,0.0500,18.7167,18.7667,0.0500,0.0153
1790366164.285,0.0500,0.0500,18.7667,18.8167,0.0500,0.0153
1790366164.335,0.0500,0.0500,18.8167,18.8667,0.0500,0.0153
1790366164.386,0.0510,0.0500,18.8667,18.9167,0.0500,0.0163
1790366164.436,0.0500,0.0500,18.9167,18.9667,0.0500,0.0163
1790366164.498,0.0510,0.0500,18.9667,19.0333,0.0667,0.0007
1790366164.546,0.0610,0.0500,19.0333,19.0833,0.0500,0.0117
1790366164.596,0.0490,0.0490,19.0833,19.1333,0.0500,0.0107
1790366164.645,0.0490,0.0490,19.1333,19.1833,0.0500,0.0097
1790366164.694,0.0490,0.0490,19.1833,19.2333,0.0500,0.0087
1790366164.743,0.0490,0.0490,19.2333,19.2833,0.0500,0.0077
1790366164.792,0.0480,0.0480,19.2833,19.3333,0.0500,0.0057
1790366164.840,0.0490,0.0490,19.3333,19.3833,0.0500,0.0047
1790366164.887,0.0470,0.0470,19.3833,19.4333,0.0500,0.0017
1790366164.925,0.0460,0.0460,19.4333,19.4667,0.0333,0.0143
1790366164.973,0.0390,0.0390,19.4667,19.5167,0.0500,0.0033
1790366165.023,0.0500,0.0500,19.5167,19.5667,0.0500,0.0033
1790366165.071,0.0490,0.0490,19.5667,19.6167,0.0500,0.0023
1790366165.109,0.0470,0.0470,19.6167,19.6500,0.0333,0.0160
1790366165.158,0.0410,0.0410,19.6500,19.7000,0.0500,0.0070
1790366165.205,0.0480,0.0480,19.7000,19.7500,0.0500,0.0050
1790366165.253,0.0470,0.0470,19.7500,19.8000,0.0500,0.0020
1790366165.290,0.0450,0.0450,19.8000,19.8333,0.0333,0.0137
1790366165.339,0.0380,0.0380,19.8333,19.8833,0.0500,0.0017
1790366165.378,0.0480,0.0480,19.8833,19.9167,0.0333,0.0163
1790366165.425,0.0410,0.0410,19.9167,19.9667,0.0500,0.0073
1790366165.473,0.0460,0.0460,19.9667,20.0167,0.0500,0.0033
1790366165.522,0.0480,0.0480,20.0167,20.0667,0.0500,0.0013
1790366165.572,0.0490,0.0490,20.0667,20.1167,0.0500,0.0003
1790366165.620,0.0510,0.0500,20.1167,20.1667,0.0500,0.0013
1790366165.658,0.0480,0.0480,20.1667,20.2000,0.0333,0.0160
1790366165.705,0.0370,0.0370,20.2000,20.2500,0.0500,0.0030
1790366165.741,0.0460,0.0460,20.2500,20.2833,0.0333,0.0157
1790366165.795,0.0370,0.0370,20.2833,20.3333,0.0500,0.0027
1790366165.855,0.0570,0.0500,20.3333,20.3833,0.0500,0.0097
1790366165.920,0.0570,0.0500,20.3833,20.4500,0.0667,0.0000
1790366165.976,0.0650,0.0500,20.4500,20.5000,0.0500,0.0150
1790366166.042,0.0560,0.0500,20.5000,20.5667,0.0667,0.0043
1790366166.107,0.0650,0.0500,20.5667,20.6333,0.0667,0.0027
1790366166.163,0.0670,0.0500,20.6333,20.7000,0.0667,0.0030
1790366166.211,0.0550,0.0500,20.7000,20.7500,0.0500,0.0080
1790366166.256,0.0480,0.0480,20.7500,20.8000,0.0500,0.0060
1790366166.301,0.0460,0.0460,20.8000,20.8500,0.0500,0.0020
1790366166.340,0.0450,0.0450,20.8500,20.8833,0.0333,0.0137
1790366166.387,0.0400,0.0400,20.8833,20.9333,0.0500,0.0037
1790366166.424,0.0460,0.0460,20.9333,20.9667,0.0333,0.0163
1790366166.470,0.0370,0.0370,20.9667,21.0167,0.0500,0.0033
1790366166.508,0.0460,0.0460,21.0167,21.0500,0.0333,0.0160
1790366166.557,0.0370,0.0370,21.0500,21.1000,0.0500,0.0030
1790366166.602,0.0490,0.0490,21.1000,21.1500,0.0500,0.0020
1790366166.639,0.0450,0.0450,21.1500,21.1833,0.0333,0.0137
1790366166.688,0.0370,0.0370,21.1833,21.2333,0.0500,0.0007
1790366166.730,0.0490,0.0490,21.2333,21.2667,0.0333,0.0163
1790366166.796,0.0490,0.0490,21.2667,21.3167,0.0500,0.0153
1790366166.861,0.0580,0.0500,21.3167,21.3833,0.0667,0.0067
1790366166.914,0.0660,0.0500,21.3833,21.4500,0.0667,0.0060
1790366166.959,0.0530,0.0500,21.4500,21.5000,0.0500,0.0090
1790366167.005,0.0450,0.0450,21.5000,21.5500,0.0500,0.0040
1790366167.041,0.0450,0.0450,21.5500,21.5833,0.0333,0.0157
1790366167.088,0.0370,0.0370,21.5833,21.6333,0.0500,0.0027
1790366167.124,0.0470,0.0470,21.6333,21.6667,0.0333,0.0163
1790366167.170,0.0370,0.0370,21.6667,21.7167,0.0500,0.0033
1790366167.208,0.0460,0.0460,21.7167,21.7500,0.0333,0.0160
1790366167.256,0.0390,0.0390,21.7500,21.8000,0.0500,0.0050
1790366167.303,0.0480,0.0480,21.8000,21.8500,0.0500,0.0030
1790366167.339,0.0450,0.0450,21.8500,21.8833,0.0333,0.0147
1790366167.386,0.0370,0.0370,21.8833,21.9333,0.0500,0.0017
1790366167.423,0.0470,0.0470,21.9333,21.9667,0.0333,0.0153
1790366167.469,0.0380,0.0380,21.9667,22.0167,0.0500,0.0033
1790366167.506,0.0450,0.0450,22.0167,22.0500,0.0333,0.0150
1790366167.552,0.0380,0.0380,22.0500,22.1000,0.0500,0.0030
1790366167.589,0.0450,0.0450,22.1000,22.1333,0.0333,0.0147
1790366167.635,0.0370,0.0370,22.1333,22.1833,0.0500,0.0017
1790366167.671,0.0440,0.0440,22.1833,22.2167,0.0333,0.0123
1790366167.719,0.0380,0.0380,22.2167,22.2667,0.0500,0.0003
1790366167.756,0.0470,0.0470,22.2667,22.3000,0.0333,0.0140
1790366167.804,0.0380,0.0380,22.3000,22.3500,0.0500,0.0020
1790366167.842,0.0470,0.0470,22.3500,22.3833,0.0333,0.0157
1790366167.890,0.0400,0.0400,22.3833,22.4333,0.0500,0.0057
1790366167.936,0.0460,0.0460,22.4333,22.4833,0.0500,0.0017
1790366167.974,0.0460,0.0460,22.4833,22.5167,0.0333,0.0143
1790366168.031,0.0380,0.0380,22.5167,22.5667,0.0500,0.0023
1790366168.083,0.0580,0.0500,22.5667,22.6167,0.0500,0.0103
1790366168.130,0.0510,0.0500,22.6167,22.6667,0.0500,0.0113
1790366168.178,0.0470,0.0470,22.6667,22.7167,0.0500,0.0083
1790366168.224,0.0480,0.0480,22.7167,22.7667,0.0500,0.0063
1790366168.268,0.0460,0.0460,22.7667,22.8167,0.0500,0.0023
1790366168.305,0.0450,0.0450,22.8167,22.8500,0.0333,0.0140
1790366168.362,0.0370,0.0370,22.8500,22.9000,0.0500,0.0010
1790366168.415,0.0610,0.0500,22.9000,22.9500,0.0500,0.0120
1790366168.464,0.0490,0.0490,22.9500,23.0000,0.0500,0.0110
1790366168.513,0.0490,0.0490,23.0000,23.0500,0.0500,0.0100
1790366168.563,0.0480,0.0480,23.0500,23.1000,0.0500,0.0080
1790366168.609,0.0490,0.0490,23.1000,23.1500,0.0500,0.0070
1790366168.656,0.0460,0.0460,23.1500,23.2000,0.0500,0.0030
1790366168.716,0.0480,0.0480,23.2000,23.2500,0.0500,0.0010
1790366168.762,0.0590,0.0500,23.2500,23.3000,0.0500,0.0100
1790366168.808,0.0470,0.0470,23.3000,23.3500,0.0500,0.0070
1790366168.856,0.0460,0.0460,23.3500,23.4000,0.0500,0.0030
1790366168.914,0.0480,0.0480,23.4000,23.4500,0.0500,0.0010
1790366168.965,0.0600,0.0500,23.4500,23.5000,0.0500,0.0110
1790366169.013,0.0490,0.0490,23.5000,23.5500,0.0500,0.0100
1790366169.062,0.0490,0.0490,23.5500,23.6000,0.0500,0.0090
1790366169.110,0.0480,0.0480,23.6000,23.6500,0.0500,0.0070
1790366169.161,0.0490,0.0490,23.6500,23.7000,0.0500,0.0060
1790366169.211,0.0520,0.0500,23.7000,23.7500,0.0500,0.0080
1790366169.261,0.0500,0.0500,23.7500,23.8000,0.0500,0.0080
1790366169.310,0.0500,0.0500,23.8000,23.8500,0.0500,0.0080
1790366169.361,0.0490,0.0490,23.8500,23.9000,0.0500,0.0070
1790366169.413,0.0500,0.0500,23.9000,23.9500,0.0500,0.0070
1790366169.462,0.0530,0.0500,23.9500,24.0000,0.0500,0.0100
1790366169.513,0.0500,0.0500,24.0000,24.0500,0.0500,0.0100
1790366169.563,0.0490,0.0490,24.0500,24.1000,0.0500,0.0090
1790366169.612,0.0480,0.0480,24.1000,24.1500,0.0500,0.0070
1790366169.659,0.0480,0.0480,24.1500,24.2000,0.0500,0.0050
1790366169.707,0.0490,0.0490,24.2000,24.2500,0.0500,0.0040
1790366169.754,0.0470,0.0470,24.2500,24.3000,0.0500,0.0010
1790366169.792,0.0480,0.0480,24.3000,24.3333,0.0333,0.0157
1790366169.839,0.0380,0.0380,24.3333,24.3833,0.0500,0.0037
1790366169.889,0.0470,0.0470,24.3833,24.4333,0.0500,0.0007
1790366169.926,0.0490,0.0490,24.4333,24.4667,0.0333,0.0163
1790366169.974,0.0380,0.0380,24.4667,24.5167,0.0500,0.0043
1790366170.022,0.0480,0.0480,24.5167,24.5667,0.0500,0.0023
1790366170.071,0.0480,0.0480,24.5667,24.6167,0.0500,0.0003
1790366170.121,0.0530,0.0500,24.6167,24.6667,0.0500,0.0033
1790366170.163,0.0460,0.0460,24.6667,24.7000,0.0333,0.0160
1790366170.226,0.0490,0.0490,24.7000,24.7500,0.0500,0.0150
1790366170.282,0.0570,0.0500,24.7500,24.8167,0.0667,0.0053
1790366170.328,0.0550,0.0500,24.8167,24.8667,0.0500,0.0103
1790366170.374,0.0460,0.0460,24.8667,24.9167,0.0500,0.0063
1790366170.421,0.0470,0.0470,24.9167,24.9667,0.0500,0.0033
1790366170.468,0.0470,0.0470,24.9667,25.0167,0.0500,0.0003
1790366170.507,0.0470,0.0470,25.0167,25.0500,0.0333,0.0140
1790366170.557,0.0390,0.0390,25.0500,25.1000,0.0500,0.0030
1790366170.622,0.0500,0.0500,25.1000,25.1500,0.0500,0.0030
1790366170.678,0.0640,0.0500,25.1500,25.2167,0.0667,0.0003
1790366170.725,0.0550,0.0500,25.2167,25.2667,0.0500,0.0053
1790366170.773,0.0470,0.0470,25.2667,25.3167,0.0500,0.0023
1790366170.820,0.0490,0.0490,25.3167,25.3667,0.0500,0.0013
1790366170.863,0.0470,0.0470,25.3667,25.4000,0.0333,0.0150
1790366170.909,0.0430,0.0430,25.4000,25.4500,0.0500,0.0080
1790366170.956,0.0470,0.0470,25.4500,25.5000,0.0500,0.0050
1790366171.003,0.0460,0.0460,25.5000,25.5500,0.0500,0.0010
1790366171.048,0.0470,0.0470,25.5500,25.5833,0.0333,0.0147
1790366171.111,0.0510,0.0500,25.5833,25.6333,0.0500,0.0157
1790366171.168,0.0570,0.0500,25.6333,25.7000,0.0667,0.0060
1790366171.223,0.0590,0.0500,25.7000,25.7500,0.0500,0.0150
1790366171.280,0.0540,0.0500,25.7500,25.8167,0.0667,0.0023
1790366171.329,0.0570,0.0500,25.8167,25.8667,0.0500,0.0093
1790366171.377,0.0480,0.0480,25.8667,25.9167,0.0500,0.0073
1790366171.429,0.0490,0.0490,25.9167,25.9667,0.0500,0.0063
1790366171.478,0.0520,0.0500,25.9667,26.0167,0.0500,0.0083
1790366171.525,0.0490,0.0490,26.0167,26.0667,0.0500,0.0073
1790366171.574,0.0480,0.0480,26.0667,26.1167,0.0500,0.0053
1790366171.622,0.0470,0.0470,26.1167,26.1667,0.0500,0.0023
1790366171.660,0.0470,0.0470,26.1667,26.2000,0.0333,0.0160
1790366171.709,0.0390,0.0390,26.2000,26.2500,0.0500,0.0050
1790366171.768,0.0490,0.0490,26.2500,26.3000,0.0500,0.0040
1790366171.815,0.0590,0.0500,26.3000,26.3500,0.0500,0.0130
1790366171.876,0.0470,0.0470,26.3500,26.4000,0.0500,0.0100
1790366171.935,0.0620,0.0500,26.4000,26.4667,0.0667,0.0053
1790366171.983,0.0570,0.0500,26.4667,26.5167,0.0500,0.0123
1790366172.030,0.0490,0.0490,26.5167,26.5667,0.0500,0.0113
1790366172.081,0.0480,0.0480,26.5667,26.6167,0.0500,0.0093
1790366172.129,0.0500,0.0500,26.6167,26.6667,0.0500,0.0093
1790366172.191,0.0490,0.0490,26.6667,26.7167,0.0500,0.0083
1790366172.250,0.0630,0.0500,26.7167,26.7833,0.0667,0.0047
1790366172.301,0.0600,0.0500,26.7833,26.8333,0.0500,0.0147
1790366172.353,0.0500,0.0500,26.8333,26.8833,0.0500,0.0147
1790366172.403,0.0500,0.0500,26.8833,26.9333,0.0500,0.0147
1790366172.452,0.0510,0.0500,26.9333,26.9833,0.0500,0.0157
1790366172.500,0.0500,0.0500,26.9833,27.0333,0.0500,0.0157
1790366172.548,0.0470,0.0470,27.0333,27.0833,0.0500,0.0127
1790366172.596,0.0480,0.0480,27.0833,27.1333,0.0500,0.0107
1790366172.645,0.0470,0.0470,27.1333,27.1833,0.0500,0.0077
1790366172.695,0.0490,0.0490,27.1833,27.2333,0.0500,0.0067
1790366172.744,0.0500,0.0500,27.2333,27.2833,0.0500,0.0067
1790366172.793,0.0490,0.0490,27.2833,27.3333,0.0500,0.0057
1790366172.843,0.0490,0.0490,27.3333,27.3833,0.0500,0.0047
1790366172.895,0.0510,0.0500,27.3833,27.4333,0.0500,0.0057
1790366172.944,0.0500,0.0500,27.4333,27.4833,0.0500,0.0057
1790366172.995,0.0510,0.0500,27.4833,27.5333,0.0500,0.0067
1790366173.046,0.0500,0.0500,27.5333,27.5833,0.0500,0.0067
1790366173.098,0.0510,0.0500,27.5833,27.6333,0.0500,0.0077
1790366173.148,0.0530,0.0500,27.6333,27.6833,0.0500,0.0107
1790366173.197,0.0500,0.0500,27.6833,27.7333,0.0500,0.0107
1790366173.246,0.0500,0.0500,27.7333,27.7833,0.0500,0.0107
1790366173.293,0.0470,0.0470,27.7833,27.8333,0.0500,0.0077
1790366173.344,0.0480,0.0480,27.8333,27.8833,0.0500,0.0057
1790366173.396,0.0510,0.0500,27.8833,27.9333,0.0500,0.0067
1790366173.451,0.0530,0.0500,27.9333,27.9833,0.0500,0.0097
1790366173.498,0.0540,0.0500,27.9833,28.0333,0.0500,0.0137
1790366173.547,0.0470,0.0470,28.0333,28.0833,0.0500,0.0107
1790366173.596,0.0490,0.0490,28.0833,28.1333,0.0500,0.0097
1790366173.644,0.0480,0.0480,28.1333,28.1833,0.0500,0.0077
1790366173.695,0.0480,0.0480,28.1833,28.2333,0.0500,0.0057
1790366173.744,0.0510,0.0500,28.2333,28.2833,0.0500,0.0067
1790366173.792,0.0480,0.0480,28.2833,28.3333,0.0500,0.0047
1790366173.841,0.0490,0.0490,28.3333,28.3833,0.0500,0.0037
1790366173.889,0.0480,0.0480,28.3833,28.4333,0.0500,0.0017
1790366173.939,0.0490,0.0490,28.4333,28.4833,0.0500,0.0007
1790366173.989,0.0500,0.0500,28.4833,28.5333,0.0500,0.0007
1790366174.040,0.0510,0.0500,28.5333,28.5833,0.0500,0.0017
1790366174.088,0.0500,0.0500,28.5833,28.6333,0.0500,0.0017
1790366174.136,0.0490,0.0490,28.6333,28.6833,0.0500,0.0007
1790366174.174,0.0480,0.0480,28.6833,28.7167,0.0333,0.0153
1790366174.226,0.0390,0.0390,28.7167,28.7667,0.0500,0.0043
1790366174.276,0.0500,0.0500,28.7667,28.8167,0.0500,0.0043
1790366174.327,0.0500,0.0500,28.8167,28.8667,0.0500,0.0043
1790366174.378,0.0520,0.0500,28.8667,28.9167,0.0500,0.0063
1790366174.428,0.0500,0.0500,28.9167,28.9667,0.0500,0.0063
1790366174.480,0.0500,0.0500,28.9667,29.0167,0.0500,0.0063
1790366174.534,0.0530,0.0500,29.0167,29.0667,0.0500,0.0093
1790366174.587,0.0540,0.0500,29.0667,29.1167,0.0500,0.0133
1790366174.636,0.0520,0.0500,29.1167,29.1667,0.0500,0.0153
1790366174.684,0.0480,0.0480,29.1667,29.2167,0.0500,0.0133
1790366174.732,0.0480,0.0480,29.2167,29.2667,0.0500,0.0113
1790366174.783,0.0490,0.0490,29.2667,29.3167,0.0500,0.0103
1790366174.830,0.0500,0.0500,29.3167,29.3667,0.0500,0.0103
1790366174.879,0.0490,0.0490,29.3667,29.4167,0.0500,0.0093
1790366174.925,0.0470,0.0470,29.4167,29.4667,0.0500,0.0063
1790366174.973,0.0470,0.0470,29.4667,29.5167,0.0500,0.0033
1790366175.020,0.0470,0.0470,29.5167,29.5667,0.0500,0.0003
1790366175.059,0.0470,0.0470,29.5667,29.6000,0.0333,0.0140
1790366175.108,0.0410,0.0410,29.6000,29.6500,0.0500,0.0050
1790366175.157,0.0490,0.0490,29.6500,29.7000,0.0500,0.0040
1790366175.203,0.0480,0.0480,29.7000,29.7500,0.0500,0.0020
1790366175.241,0.0460,0.0460,29.7500,29.7833,0.0333,0.0147
1790366175.288,0.0380,0.0380,29.7833,29.8333,0.0500,0.0027
1790366175.327,0.0470,0.0470,29.8333,29.8667,0.0333,0.0163
1790366175.373,0.0390,0.0390,29.8667,29.9167,0.0500,0.0053
1790366175.421,0.0470,0.0470,29.9167,29.9667,0.0500,0.0023
1790366175.469,0.0480,0.0480,29.9667,30.0167,0.0500,0.0003
1790366175.508,0.0470,0.0470,30.0167,30.0500,0.0333,0.0140
1790366175.560,0.0410,0.0410,30.0500,30.1000,0.0500,0.0050
1790366175.609,0.0510,0.0500,30.1000,30.1500,0.0500,0.0060
1790366175.659,0.0490,0.0490,30.1500,30.2000,0.0500,0.0050
1790366175.712,0.0530,0.0500,30.2000,30.2500,0.0500,0.0080
1790366175.765,0.0480,0.0480,30.2500,30.3000,0.0500,0.0060
1790366175.814,0.0540,0.0500,30.3000,30.3500,0.0500,0.0100
1790366175.860,0.0480,0.0480,30.3500,30.4000,0.0500,0.0080
1790366175.910,0.0470,0.0470,30.4000,30.4500,0.0500,0.0050
1790366175.960,0.0500,0.0500,30.4500,30.5000,0.0500,0.0050
1790366176.010,0.0490,0.0490,30.5000,30.5500,0.0500,0.0040
1790366176.068,0.0500,0.0500,30.5500,30.6000,0.0500,0.0040
1790366176.115,0.0580,0.0500,30.6000,30.6500,0.0500,0.0120
1790366176.162,0.0490,0.0490,30.6500,30.7000,0.0500,0.0110
1790366176.213,0.0470,0.0470,30.7000,30.7500,0.0500,0.0080
1790366176.264,0.0510,0.0500,30.7500,30.8000,0.0500,0.0090
1790366176.313,0.0500,0.0500,30.8000,30.8500,0.0500,0.0090
1790366176.361,0.0490,0.0490,30.8500,30.9000,0.0500,0.0080
1790366176.410,0.0490,0.0490,30.9000,30.9500,0.0500,0.0070
1790366176.457,0.0480,0.0480,30.9500,31.0000,0.0500,0.0050
1790366176.504,0.0470,0.0470,31.0000,31.0500,0.0500,0.0020
1790366176.551,0.0480,0.0480,31.0500,31.1000,0.0500,0.0000
1790366176.589,0.0470,0.0470,31.1000,31.1333,0.0333,0.0137
1790366176.637,0.0380,0.0380,31.1333,31.1833,0.0500,0.0017
1790366176.674,0.0460,0.0460,31.1833,31.2167,0.0333,0.0143
1790366176.723,0.0380,0.0380,31.2167,31.2667,0.0500,0.0023
1790366176.774,0.0490,0.0490,31.2667,31.3167,0.0500,0.0013
1790366176.823,0.0510,0.0500,31.3167,31.3667,0.0500,0.0023
1790366176.872,0.0480,0.0480,31.3667,31.4167,0.0500,0.0003
1790366176.913,0.0490,0.0490,31.4167,31.4500,0.0333,0.0160
1790366176.959,0.0410,0.0410,31.4500,31.5000,0.0500,0.0070
1790366177.005,0.0460,0.0460,31.5000,31.5500,0.0500,0.0030
1790366177.055,0.0480,0.0480,31.5500,31.6000,0.0500,0.0010
1790366177.094,0.0480,0.0480,31.6000,31.6333,0.0333,0.0157
1790366177.142,0.0400,0.0400,31.6333,31.6833,0.0500,0.0057
1790366177.192,0.0480,0.0480,31.6833,31.7333,0.0500,0.0037
1790366177.241,0.0500,0.0500,31.7333,31.7833,0.0500,0.0037
1790366177.290,0.0490,0.0490,31.7833,31.8333,0.0500,0.0027
1790366177.337,0.0480,0.0480,31.8333,31.8833,0.0500,0.0007
1790366177.376,0.0480,0.0480,31.8833,31.9167,0.0333,0.0153
1790366177.426,0.0390,0.0390,31.9167,31.9667,0.0500,0.0043
1790366177.475,0.0500,0.0500,31.9667,32.0167,0.0500,0.0043
1790366177.523,0.0490,0.0490,32.0167,32.0667,0.0500,0.0033
1790366177.571,0.0480,0.0480,32.0667,32.1167,0.0500,0.0013
1790366177.611,0.0480,0.0480,32.1167,32.1500,0.0333,0.0160
1790366177.659,0.0390,0.0390,32.1500,32.2000,0.0500,0.0050
1790366177.703,0.0470,0.0470,32.2000,32.2500,0.0500,0.0020
1790366177.740,0.0440,0.0440,32.2500,32.2833,0.0333,0.0127
1790366177.787,0.0380,0.0380,32.2833,32.3333,0.0500,0.0007
1790366177.823,0.0460,0.0460,32.3333,32.3667,0.0333,0.0133
1790366177.859,0.0360,0.0360,32.3667,32.4000,0.0333,0.0160
1790366177.919,0.0380,0.0380,32.4000,32.4500,0.0500,0.0040
1790366177.978,0.0600,0.0500,32.4500,32.5000,0.0500,0.0140
1790366178.044,0.0580,0.0500,32.5000,32.5667,0.0667,0.0053
1790366178.099,0.0640,0.0500,32.5667,32.6333,0.0667,0.0027
1790366178.151,0.0560,0.0500,32.6333,32.6833,0.0500,0.0087
1790366178.199,0.0530,0.0500,32.6833,32.7333,0.0500,0.0117
1790366178.248,0.0480,0.0480,32.7333,32.7833,0.0500,0.0097
1790366178.295,0.0490,0.0490,32.7833,32.8333,0.0500,0.0087
1790366178.344,0.0470,0.0470,32.8333,32.8833,0.0500,0.0057
1790366178.389,0.0490,0.0490,32.8833,32.9333,0.0500,0.0047
1790366178.424,0.0450,0.0450,32.9333,32.9667,0.0333,0.0163
1790366178.473,0.0380,0.0380,32.9667,33.0167,0.0500,0.0043
1790366178.519,0.0480,0.0480,33.0167,33.0667,0.0500,0.0023
1790366178.557,0.0460,0.0460,33.0667,33.1000,0.0333,0.0150
1790366178.603,0.0390,0.0390,33.1000,33.1500,0.0500,0.0040
1790366178.640,0.0430,0.0430,33.1500,33.1833,0.0333,0.0137
1790366178.685,0.0370,0.0370,33.1833,33.2333,0.0500,0.0007
1790366178.722,0.0460,0.0460,33.2333,33.2667,0.0333,0.0133
1790366178.766,0.0370,0.0370,33.2667,33.3167,0.0500,0.0003
1790366178.802,0.0440,0.0440,33.3167,33.3500,0.0333,0.0110
1790366178.841,0.0380,0.0380,33.3500,33.3833,0.0333,0.0157
1790366178.886,0.0370,0.0370,33.3833,33.4333,0.0500,0.0027
1790366178.923,0.0440,0.0440,33.4333,33.4667,0.0333,0.0133
1790366178.972,0.0390,0.0390,33.4667,33.5167,0.0500,0.0023
1790366179.019,0.0480,0.0480,33.5167,33.5667,0.0500,0.0003
1790366179.057,0.0480,0.0480,33.5667,33.6000,0.0333,0.0150
1790366179.105,0.0390,0.0390,33.6000,33.6500,0.0500,0.0040
1790366179.153,0.0480,0.0480,33.6500,33.7000,0.0500,0.0020
1790366179.202,0.0480,0.0480,33.7000,33.7500,0.0500,0.0000
1790366179.241,0.0470,0.0470,33.7500,33.7833,0.0333,0.0137
1790366179.289,0.0400,0.0400,33.7833,33.8333,0.0500,0.0037
1790366179.335,0.0470,0.0470,33.8333,33.8833,0.0500,0.0007
1790366179.372,0.0460,0.0460,33.8833,33.9167,0.0333,0.0133
1790366179.420,0.0390,0.0390,33.9167,33.9667,0.0500,0.0023
1790366179.458,0.0470,0.0470,33.9667,34.0000,0.0333,0.0160
1790366179.513,0.0380,0.0380,34.0000,34.0500,0.0500,0.0040
1790366179.560,0.0550,0.0500,34.0500,34.1000,0.0500,0.0090
1790366179.607,0.0470,0.0470,34.1000,34.1500,0.0500,0.0060
1790366179.652,0.0450,0.0450,34.1500,34.2000,0.0500,0.0010
1790366179.691,0.0450,0.0450,34.2000,34.2333,0.0333,0.0127
1790366179.737,0.0390,0.0390,34.2333,34.2833,0.0500,0.0017
1790366179.773,0.0460,0.0460,34.2833,34.3167,0.0333,0.0143
1790366179.795,0.0380,0.0380,34.3167,34.3667,0.0500,0.0023
1790366179.816,0.0230,0.0230,34.3667,34.3833,0.0167,0.0087
1790366179.839,0.0220,0.0220,34.3833,34.4000,0.0167,0.0140
1790366179.863,0.0240,0.0240,34.4000,34.4333,0.0333,0.0047
1790366179.885,0.0230,0.0230,34.4333,34.4500,0.0167,0.0110
1790366179.909,0.0230,0.0230,34.4500,34.4833,0.0333,0.0007
1790366179.933,0.0240,0.0240,34.4833,34.5000,0.0167,0.0080
1790366179.955,0.0230,0.0230,34.5000,34.5167,0.0167,0.0143
1790366179.982,0.0250,0.0250,34.5167,34.5500,0.0333,0.0060
1790366180.007,0.0260,0.0260,34.5500,34.5667,0.0167,0.0153
1790366180.038,0.0300,0.0300,34.5667,34.6000,0.0333,0.0120
1790366180.060,0.0230,0.0230,34.6000,34.6333,0.0333,0.0017
1790366180.083,0.0230,0.0230,34.6333,34.6500,0.0167,0.0080
1790366180.108,0.0260,0.0260,34.6500,34.6833,0.0333,0.0007
1790366180.130,0.0230,0.0230,34.6833,34.7000,0.0167,0.0070
1790366180.154,0.0230,0.0230,34.7000,34.7167,0.0167,0.0133
1790366180.177,0.0230,0.0230,34.7167,34.7500,0.0333,0.0030
1790366180.199,0.0220,0.0220,34.7500,34.7667,0.0167,0.0083
1790366180.220,0.0220,0.0220,34.7667,34.7833,0.0167,0.0137
1790366180.242,0.0210,0.0210,34.7833,34.8167,0.0333,0.0013
1790366180.264,0.0220,0.0220,34.8167,34.8333,0.0167,0.0067
1790366180.286,0.0220,0.0220,34.8333,34.8500,0.0167,0.0120
1790366180.310,0.0240,0.0240,34.8500,34.8833,0.0333,0.0027
1790366180.330,0.0200,0.0200,34.8833,34.9000,0.0167,0.0060
1790366180.353,0.0230,0.0230,34.9000,34.9167,0.0167,0.0123
1790366180.374,0.0210,0.0210,34.9167,34.9500,0.0333,0.0000
1790366180.397,0.0240,0.0240,34.9500,34.9667,0.0167,0.0073
1790366180.421,0.0230,0.0230,34.9667,34.9833,0.0167,0.0137
1790366180.443,0.0220,0.0220,34.9833,35.0167,0.0333,0.0023
1790366180.466,0.0230,0.0230,35.0167,35.0333,0.0167,0.0087
1790366180.488,0.0220,0.0220,35.0333,35.0500,0.0167,0.0140
1790366180.510,0.0220,0.0220,35.0500,35.0833,0.0333,0.0027
1790366180.531,0.0210,0.0210,35.0833,35.1000,0.0167,0.0070
1790366180.554,0.0240,0.0240,35.1000,35.1167,0.0167,0.0143
